Title,Article
Latest news updates from major cities of India,"One murky situation, many questionable ‘solutions’

From bacteria to microbes, the Bangalore Development Authority (BDA) has been presented with a number of solutions to a problem it doesn’t seem to quite understand.Recently, Raaginni Jaain from the Mumbai-based Geetanjali Envirotech poured over hundreds of litres of “soil-based” microbes into an outlet of Bellandur lake. She claimed that the “proprietary blend” of microbes had decreased the voluminous froth in a little more than two days of trials.This, however, was not backed by the BDA, which"
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"Telangana - Latest news, Live Updates, Politics, Events","Telangana BJP leaders hail Supreme Court verdict

Union Minister for Labour and Employment Bandaru Dattatraya on Tuesday hailed and welcomed the verdict of the Constitutional Bench of Supreme Court on the ‘Triple Talaq’. It will bring legitimate rights and provide reasonable living standards to Muslim women who had suffered under the pernicious practice, he observed. Urging the religious heads and clerics to be in tune with the judgement, he was confident of the Muslim brothers welcoming the “historic” ruling. In the name of religious practices"
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
"Madurai - Latest News, Politics, Events, Entertainment",
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
International News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Bengaluru - Latest News, Politics, Events, Entertainment","Rock on the Range concert: Wish you were here

Rock on the Range paid tribute to Chris Cornell with a video montage, audio from his performances and a special acoustic set by American rockers Stone Sour"
"Chennai - Latest News, Politics, Events, Entertainment","As a few of us sat talking about Madras Week’s programmes and agreed one of the most interesting walks would be Govi Lenin’s Justice Party Trail in T Nagar, someone suggested that it wasn’t too late to do a Subramania Bharati Trail in Madras. That would include his house, the Triplicane Parthasarathy Temple, the Triplicane Beach, the Swadesamitran’s former office site, G Kasturi Iyengar’s guest house, and, most significant of all, the place where The India Printing Press was (a location that’s a"
"Puducherry - Latest News, Politics, Events, Entertainment",
"Kolkata - Latest News, Politics, Events, Entertainment",
Resources News,"Acceptance Speech of Roda Mehta, AAAI Lifetime Award Winner 2017

Nakul Chopra and the Managing Committee of the Advertising Agencies Association of India, Ashish Bhasin and members of the Selection Committee, and the many who have graced this occasion with your presence.It never ever occurred to me that one day I would be back again before you! This award has come as an unexpected surprise, for in the past 19 years since I left this industry, I have thought and worked on much else than advertising!You are honoring me for much today. As far as I can remember,"
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Karnataka - Latest news, Live Updates, Politics, Events","When dengue fever is alarmingly spreading in the State and the cost for its treatment escalating, many in Hyderabad Karnataka have found their own way"
"India Latest News, Live Updates, Politics, Governance, Law","There would be no sub-categorisation among the Scheduled Castes, Union Minister Ramvilas Paswan clarified hours after the Union Cabinet on Wednesday approved a proposal to set up a committee to examine the sub-categorisation of the Other Backward Castes (OBC). “We at Lok Jan Shakti Party wholeheartedly welcome this decision. This will open doors for those who remain untouched by the benefits of reservation. It is a step forward to Prime Minister Narendra Modi’s goal to bring power to the poor,”"
"Mangalore - Latest News, Politics, Events, Entertainment",
