Title,Article
"Madurai - Latest News, Politics, Events, Entertainment",
"Latest Regional News, Politics, Events, Entertainment","Canteen to soon be set up in all district headquarters

‘Congress likely to include this in poll manifesto’"
"India Latest News, Live Updates, Politics, Governance, Law","The court is considering the plea by one of the convicts, A.G. Perarivalan, who was found guilty of supplying a nine-volt battery for the bomb."
Author News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
வீடியோ News,
"Bengaluru - Latest News, Politics, Events, Entertainment","Premier Badminton League ‘It is only a question of how quickly we understand each other’

Ashwini Ponnappa and N. Sikki Reddy, who will play for Bengaluru Blasters, look to the ongoing Premier Badminton League (though they feature only in the mixed doubles event as there is no women’s doubles) as a huge learning curve.Their first target will be to break into the elite group in women’s doubles after finishing runner-up in the recent Welsh International Challenge and picking up a bronze at the Irish Grand Prix.Ashwini says they will take it match by match as they chart their course in"
International News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Puducherry - Latest News, Politics, Events, Entertainment",
"Telangana - Latest news, Live Updates, Politics, Events",All units of the Bharatiya Janata Party in the district and across the State are gearing up with an action plan to stage protests and resort to
"India States - Latest news, Live Updates, Politics, Events","Two alleged Babbar Khalsa operatives nabbed in UP

The Uttar Pradesh Anti-Terror Squad (UP ATS) on Thursday arrested two persons allegedly belonging to the banned Khalistani outfit, Babbar Khalsa.The two suspects were identified as Balwant Singh and Jaswant Singh, a senior police officer said.While Balwant was arrested from the Aishbagh area of the State capital late on Wednesday, Jaswant was nabbed from a farmhouse in Unnao district, adjoining Lucknow.Balwant, who was missing from Punjab’s Shaheed Bhagat Singh Nagar, was arrested on a tip-off"
"Kolkata - Latest News, Politics, Events, Entertainment",
Latest news updates from major cities of India,"‘Don’t give in to whims of kids... we should have never let Himanshu buy the bike’

Parents of 24-year-old, who died in an accident on Monday while allegedly speeding on his superbike, deny that he was racing with friends; say such bikes should be banned"
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Tamil Nadu - Latest news, Live Updates, Politics, Events","Karunanidhi admitted to hospital

DMK president M. Karunanidhi underwent a minor procedure at Kauvery Hospital in Chennai today and was discharged soon after.The 93-year-old leader was also examined by doctors to evaluate his other health parameters.The former chief minister was admitted for a “minor procedure - change of (Percutaneous endoscopic gastronomy) PEG tube,” Kauvery Hospital Executive Director S. Aravindan said in a statement.After the completion of the procedure which took about 40 minutes, Mr. Karunanidhi was"
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Kerala - Latest news, Live Updates, Politics, Events","After clashes, peace meet in Kasaragod

An all-party peace meeting held here on Thursday resolved to restore normalcy in Mavungal and Kottapara, near Kanhangad, after violence broke out in the region following recent clashes involving DYFI and RSS-BJP workers. The meeting, chaired by District Collector K. Jeevanbabu, called upon leaders of various political parties to see to it that political clashes did not recur.On the RSS-BJP leaders’ allegation that the police used force to arrest their workers involved in the clashes, the meeting"
"Kochi - Latest News, Politics, Events, Entertainment",
