Title,Article
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Telangana - Latest news, Live Updates, Politics, Events","‘Darsakudu’ fails to utilise an interesting premise to its advantage

Shriya Saran opens up on career highs and lows, her love for dance and her plans to co-write a musical"
"Mangalore - Latest News, Politics, Events, Entertainment",
Latest news updates from major cities of India,Says it did not go to Chief Hydrographer for demarcation of backwater areas on map
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Kochi - Latest News, Politics, Events, Entertainment",
"Kerala - Latest news, Live Updates, Politics, Events","Director-actor Sidharth Bharathan returns to the marquee after a gap with the curiously-titled Varnyathil Aashanka

Sanalkumar Sasidharan, one of the most successful ambassadors of independent cinema in Malayalam, on his new film ‘Unmadiyude Maranam’ and the space in which his films are born"
"Mumbai - Latest News, Politics, Events, Entertainment","Fewer child sex slaves in Mumbai brothels, but underground trade a concern: study

The number of children trafficked for sex in the red light districts of Mumbai has dropped sharply, activists said, as they raised concerns over the trade shifting underground to private lodges and residences.A study by the non-governmental International Justice Mission (IJM), Commercial Sexual Exploitation of Children in Mumbai, mapped nearly 10,000 commercial sex workers in more than 1,000 brothels, and about 200 sex workers operating from private establishments.In brothels, it found the"
"Karnataka - Latest news, Live Updates, Politics, Events","613th urs of Khwaja Bande Nawaz in Kalaburagi from Monday

The 600-year-old Dargah-e-Sharief of the 14th century Sufi saint Hazrath Khwaja Bande Nawaz Gesudaraz is all decked up for the 613th Urs-e-Sharif of the saint to be held on the dargah premises from Monday. Thousands of devotees from all over the country and abroad will throng the historic city, which was once the famous capital of the Bahmani Sultanate, to participate in the urs. The celebrations will begin at 8 a.m. at the dargah, followed by namaaz-e-zuhr in the afternoon and namaaz-e-maghrib"
"India Latest News, Live Updates, Politics, Governance, Law","Maintaining its silence on claims by the Chinese government that India has reduced troop levels on the Doklam plateau where they have been in a standoff with the PLA, the government on Friday said it would not comment on “operational details,” but continued to affirm that “war is not an option” despite rising tensions.“As far as questions on deployments are concerned, these are operational matters on our side or the other side and would not like to specifically go into them,” said MEA"
"Trichy - Latest News, Politics, Events, Entertainment",
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Chennai - Latest News, Politics, Events, Entertainment","What do you know about Campbellabad, I was asked the other day. Thinking I still knew the Political Geography I had once specialised in, “It’s a town in Pakistan,” I casually answered. Only to be told it’s a 300-year-old village in Tuticorin District. When my caller wanted to know whether what the locals had told him, that it was named after a Madras Governor, was correct, I was a little more careful. “I think Governor Campbell was some time later but let me check,” I hesitantly answered.So"
